"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 18","372.25","352.25","374.25","329.75","1.31M","6.28%"
"Jun 18","350.25","393.75","397.00","338.75","4.62M","-11.10%"
"May 18","394.00","393.00","412.25","387.50","2.32M","0.38%"
"Apr 18","392.50","389.25","395.75","372.00","4.00M","1.23%"
"Mar 18","387.75","374.00","390.75","369.25","2.28M","3.54%"
"Feb 18","374.50","360.75","376.75","356.25","4.71M","3.60%"
"Jan 18","361.50","351.25","362.25","345.50","3.96M","3.06%"
"Dec 17","350.75","341.75","354.25","335.25","1.00M","2.63%"
"Nov 17","341.75","345.75","352.00","335.50","5.01M","-1.16%"
"Oct 17","345.75","354.75","356.25","342.50","3.70M","-2.67%"
"Sep 17","355.25","341.50","358.00","336.00","1.60M","3.80%"
"Aug 17","342.25","369.25","375.50","328.50","2.97M","-7.69%"
"Jul 17","370.75","373.25","394.50","360.00","1.31M","0.07%"
"Jun 17","370.50","371.50","391.75","356.25","5.11M","-0.40%"
"May 17","372.00","363.00","377.50","356.25","1.97M","3.91%"
"Apr 17","358.00","365.75","373.00","354.25","3.50M","-1.72%"
"Mar 17","364.25","366.25","377.00","353.00","1.86M","-0.68%"
"Feb 17","366.75","360.00","380.00","358.00","3.71M","1.95%"
"Jan 17","359.75","352.00","371.00","351.50","3.62M","2.20%"
"Dec 16","352.00","337.00","363.00","331.00","1.22M","4.53%"
"Nov 16","336.75","354.75","356.50","335.50","4.10M","-5.07%"
"Oct 16","354.75","336.25","359.25","335.25","3.55M","5.35%"
"Sep 16","336.75","302.00","342.25","301.75","1.76M","11.69%"
"Aug 16","301.50","332.50","334.75","301.00","2.34M","-9.87%"
"Jul 16","334.50","360.75","374.50","326.75","1.07M","-6.76%"
"Jun 16","358.75","404.25","439.25","355.75","4.55M","-11.37%"
"May 16","404.75","388.75","413.50","367.00","2.07M","3.72%"
"Apr 16","390.25","351.75","402.00","347.25","4.43M","11.02%"
"Mar 16","351.50","353.50","374.00","347.50","2.11M","-0.57%"
"Feb 16","353.50","371.00","373.75","352.50","3.58M","-4.97%"
"Jan 16","372.00","359.50","373.00","348.50","3.57M","3.69%"
"Dec 15","358.75","365.25","381.75","357.00","1.57M","-1.71%"
"Nov 15","365.00","381.25","383.50","356.00","4.09M","-4.51%"
"Oct 15","382.25","387.75","399.75","372.00","3.50M","-1.42%"
"Sep 15","387.75","362.50","395.00","346.75","1.71M","6.60%"
"Aug 15","363.75","370.00","391.50","346.50","2.47M","-1.95%"
"Jul 15","371.00","411.00","438.75","365.75","1.57M","-10.39%"
"Jun 15","414.00","350.50","415.00","346.75","4.33M","17.78%"
"May 15","351.50","362.50","371.50","348.25","1.66M","-3.03%"
"Apr 15","362.50","377.00","390.00","359.00","3.19M","-3.65%"
"Mar 15","376.25","383.00","398.50","367.00","2.16M","-2.15%"
"Feb 15","384.50","369.75","391.75","367.50","3.08M","3.92%"
"Jan 15","370.00","396.25","409.50","365.75","3.19M","-6.80%"
"Dec 14","397.00","374.00","417.00","364.25","1.38M","5.66%"
"Nov 14","375.75","374.50","389.00","359.00","3.71M","-0.27%"
"Oct 14","376.75","320.25","381.00","318.25","3.80M","17.46%"
"Sep 14","320.75","357.50","360.75","319.50","1.44M","-10.65%"
"Aug 14","359.00","357.00","370.00","347.75","1.96M","0.56%"
"Jul 14","357.00","423.75","423.75","356.50","1.03M","-15.85%"
"Jun 14","424.25","465.00","470.50","422.50","2.61M","-8.91%"
"May 14","465.75","513.25","519.50","465.00","1.27M","-9.39%"
"Apr 14","514.00","501.50","519.00","485.50","2.65M","2.39%"
"Mar 14","502.00","459.00","503.75","457.25","1.34M","9.73%"
"Feb 14","457.50","433.50","459.00","433.25","3.19M","5.41%"
"Jan 14","434.00","422.00","435.50","406.25","3.25M","2.84%"
"Dec 13","422.00","414.75","436.00","410.00","879.44K","1.63%"
"Nov 13","415.25","427.75","438.00","410.75","3.72M","-3.04%"
"Oct 13","428.25","441.25","449.75","427.00","2.95M","-3.00%"
"Sep 13","441.50","501.25","504.50","440.75","1.32M","-10.81%"
"Aug 13","495.00","499.00","522.75","453.75","1.62M","-0.80%"
"Jul 13","499.00","678.50","800.00","488.25","988.75K","-26.54%"
"Jun 13","679.25","661.25","685.50","640.50","2.05M","2.61%"
"May 13","662.00","679.50","722.50","632.50","1.22M","-3.11%"
"Apr 13","683.25","679.00","693.00","626.50","2.67M","-1.73%"
"Mar 13","695.25","719.50","749.00","695.25","1.22M","-3.37%"
"Feb 13","719.50","740.25","746.25","687.25","2.70M","-2.84%"
"Jan 13","740.50","706.25","744.50","678.00","2.88M","6.05%"
"Dec 12","698.25","752.00","759.00","687.50","874.51K","-6.65%"
"Nov 12","748.00","755.50","763.25","710.50","3.13M","-1.03%"
"Oct 12","755.75","760.25","776.00","732.25","3.00M","-0.07%"
"Sep 12","756.25","805.00","818.25","705.00","1.56M","-5.79%"
"Aug 12","802.75","806.50","843.75","776.75","1.60M","-0.46%"
"Jul 12","806.50","682.00","828.75","679.75","1.03M","19.93%"
"Jun 12","672.50","557.75","676.25","551.00","2.76M","21.12%"
"May 12","555.25","659.25","685.75","553.50","1.90M","-15.90%"
"Apr 12","660.25","649.50","666.00","599.50","2.76M","2.52%"
"Mar 12","644.00","655.75","678.50","603.00","2.00M","-1.90%"
"Feb 12","656.50","639.00","659.00","621.75","3.24M","2.74%"
"Jan 12","639.00","662.00","664.25","592.50","3.42M","-1.16%"
"Dec 11","646.50","602.00","648.50","570.00","1.27M","7.53%"
"Nov 11","601.25","646.25","666.00","580.50","3.90M","-7.07%"
"Oct 11","647.00","590.00","665.50","572.25","3.53M","9.20%"
"Sep 11","592.50","756.50","757.00","592.50","2.23M","-21.78%"
"Aug 11","757.50","668.50","765.50","658.50","1.78M","13.82%"
"Jul 11","665.50","629.00","742.00","620.75","798.17K","5.80%"
"Jun 11","629.00","751.00","799.75","615.00","3.69M","-15.85%"
"May 11","747.50","752.75","775.00","659.25","1.67M","-0.86%"
"Apr 11","754.00","730.00","783.75","715.50","3.29M","8.76%"
"Mar 11","693.25","722.00","735.00","608.00","2.24M","-4.05%"
"Feb 11","722.50","658.75","724.25","655.75","3.05M","9.55%"
"Jan 11","659.50","626.25","667.00","595.00","3.35M","4.85%"
"Dec 10","629.00","530.75","630.00","528.75","1.27M","18.68%"
"Nov 10","530.00","585.00","605.00","506.25","4.19M","-8.93%"
"Oct 10","582.00","494.75","588.00","454.25","4.07M","17.40%"
"Sep 10","495.75","424.75","528.75","423.25","2.55M","16.78%"
"Aug 10","424.50","391.50","429.50","385.00","1.81M","8.08%"
"Jul 10","392.75","354.00","397.75","351.50","927.98K","10.87%"
"Jun 10","354.25","358.75","367.25","324.50","2.71M","-1.32%"
"May 10","359.00","366.00","379.00","353.50","1.23M","-1.98%"
"Apr 10","366.25","345.25","370.00","343.50","2.31M","6.16%"
"Mar 10","345.00","378.00","381.00","343.50","1.31M","-8.73%"
"Feb 10","378.00","356.25","380.00","347.25","2.42M","6.03%"
"Jan 10","356.50","415.75","426.25","355.25","2.43M","-13.99%"
"Dec 09","414.50","400.75","418.75","363.75","1.10M","2.92%"
"Nov 09","402.75","362.00","409.50","359.25","2.89M","10.04%"
"Oct 09","366.00","341.25","413.50","327.50","2.93M","6.40%"
"Sep 09","344.00","325.00","347.75","296.75","1.49M","5.44%"
"Aug 09","326.25","342.00","365.00","304.25","1.40M","-3.90%"
"Jul 09","339.50","346.00","369.00","304.00","893.61K","-2.37%"
